"Report Period","Cert/ID","Institution Name","City","State","Class","A","L"
"20221231","14","STATE STREET BANK AND TRUST COMPANY","BOSTON","MA","SM","298020000","163284000"
"20221231","35","AUBURNBANK","AUBURN","AL","SM","1023366","952037"
"20221231","39","ROBERTSON BANKING COMPANY","DEMOPOLIS","AL","NM","444822","407949"
"20221231","41","PHENIX-GIRARD BANK","PHENIX CITY","AL","NM","265272","266874"
"20221231","49","BANK OF EVERGREEN","EVERGREEN","AL","NM","76239","70649"
"20221231","50","COMMUNITY SPIRIT BANK","RED BAY","AL","NM","182730","168079"
"20221231","51","THE BANK OF VERNON","VERNON","AL","NM","279271","232190"
"20221231","52","THE CITIZENS BANK OF WINFIELD","WINFIELD","AL","NM","311672","221318"
"20221231","54","THE EXCHANGE BANK OF ALABAMA","ALTOONA","AL","NM","373802","333806"
"20221231","58","UNITED BANK","ATMORE","AL","NM","1189317","1071660"
"20221231","70","PEOPLES EXCHANGE BANK","MONROEVILLE","AL","NM","92557","83495"
"20221231","72","CENTRAL STATE BANK","CALERA","AL","SM","539729","490485"
"20221231","77","BANKSOUTH","DOTHAN","AL","NM","204702","166729"
"20221231","81","WARREN BANK AND TRUST COMPANY","WARREN","AR","SM","139274","118658"
"20221231","88","GENERATIONS BANK","ROGERS","AR","NM","812412","698770"
"20221231","89","SIGNATURE BANK OF ARKANSAS","FAYETTEVILLE","AR","NM","982396","813879"
"20221231","90","COMMERCIAL BANK & TRUST COMPANY","MONTICELLO","AR","SM","246218","232766"
"20221231","93","RIVERSIDE BANK","SPARKMAN","AR","NM","62991","51624"
"20221231","94","FIRST STATE BANK OF WARREN","WARREN","AR","SM","117058","111599"
"20221231","99","BANK OF DELIGHT","DELIGHT","AR","NM","164938","132985"
"20221231","105","BANK OF CAVE CITY","CAVE CITY","AR","SM","165424","140817"
"20221231","107","THE MERCHANTS & PLANTERS BANK","CLARENDON","AR","NM","46262","43852"
"20221231","109","HORATIO STATE BANK","HORATIO","AR","NM","265060","234597"
"20221231","110","BANK OZK","LITTLE ROCK","AR","NM","27656568","21500143"
"20221231","131","SEACOAST NATIONAL BANK","STUART","FL","N","12140146","9984626"
"20221231","147","CENTURY BANK AND TRUST","MILLEDGEVILLE","GA","NM","368505","337959"
"20221231","148","BANK OF MADISON","MADISON","GA","NM","375667","337392"
"20221231","149","BANK OF HAZLEHURST","HAZLEHURST","GA","NM","139349","132133"
"20221231","155","BANK OF ALAPAHA","ALAPAHA","GA","NM","224718","211473"
"20221231","160","EXCHANGE BANK","MILLEDGEVILLE","GA","NM","362837","322483"
"20221231","169","FIRST NATIONAL BANK OF GRIFFIN","GRIFFIN","GA","N","391931","359054"
"20221231","170","THE PEOPLES BANK OF GEORGIA","TALBOTTON","GA","NM","157782","144920"
"20221231","172","UNITED BANK","ZEBULON","GA","NM","2419852","2231831"
"20221231","175","THE COMMERCIAL BANK","CRAWFORD","GA","NM","422053","396204"
"20221231","178","TALBOT STATE BANK","WOODLAND","GA","NM","56683","53022"
"20221231","183","THE MERCHANTS & CITIZENS BANK","MCRAE","GA","NM","128446","115714"
"20221231","197","ALLIANCE BANK","FRANCESVILLE","IN","NM","442035","399493"
"20221231","210","TRI-COUNTY BANK & TRUST COMPANY","ROACHDALE","IN","NM","247424","220274"
"20221231","214","WASHINGTON STATE BANK","WASHINGTON","IA","SM","521376","456077"
"20221231","226","GUTHRIE COUNTY STATE BANK","PANORA","IA","NM","253188","205951"
"20221231","228","AMERICAN STATE BANK","SIOUX CENTER","IA","NM","1254978","1034064"
"20221231","230","COMMUNITY STATE BANK","SPENCER","IA","NM","336694","305932"
"20221231","231","COMMERCIAL SAVINGS BANK","CARROLL","IA","SM","261097","226928"
"20221231","232","SOLON STATE BANK","SOLON","IA","NM","124966","94321"
"20221231","234","POCAHONTAS STATE BANK","POCAHONTAS","IA","NM","111542","76949"
"20221231","235","SECURITY STATE BANK","SUTHERLAND","IA","NM","313938","266406"
"20221231","245","RACCOON VALLEY BANK","PERRY","IA","NM","415176","376209"
"20221231","248","STATE SAVINGS BANK","WEST DES MOINES","IA","NM","198557","158080"
"20221231","251","FIRST SECURITY BANK","MAPLETON","IA","NM","81330","59645"
"20221231","252","PINNACLE BANK","MARSHALLTOWN","IA","SM","285368","234465"
"20221231","253","LUANA SAVINGS BANK","LUANA","IA","NM","2036937","1733500"
"20221231","254","FIRST WHITNEY BANK AND TRUST","ATLANTIC","IA","NM","269150","244338"
"20221231","258","STOCK YARDS BANK & TRUST COMPANY","LOUISVILLE","KY","NM","7488838","6399935"
"20221231","262","CITIZENS BANK","MOUNT VERNON","KY","NM","195676","167302"
"20221231","267","KENTUCKY FARMERS BANK CORPORATION","CATLETTSBURG","KY","NM","267317","229778"
"20221231","275","MORGANTOWN BANK & TRUST COMPANY, INCORPORATED","MORGANTOWN","KY","NM","277592","242704"
"20221231","281","HYDEN CITIZENS BANK","HYDEN","KY","NM","144446","127265"
"20221231","284","AUBURN BANKING COMPANY","AUBURN","KY","NM","114728","103248"
"20221231","287","COMMUNITY FINANCIAL SERVICES BANK","BENTON","KY","SM","1401542","1296989"
"20221231","288","FARMERS & TRADERS BANK OF CAMPTON","CAMPTON","KY","NM","63211","57076"
"20221231","289","BANK OF HINDMAN","HINDMAN","KY","NM","262901","229294"
"20221231","291","JACKSON COUNTY BANK","MC KEE","KY","NM","164445","115041"
"20221231","292","THE MONTICELLO BANKING COMPANY","MONTICELLO","KY","SM","1156139","941700"
"20221231","296","BANK OF EDMONSON COUNTY","BROWNSVILLE","KY","NM","271364","236741"
"20221231","297","LEWISBURG BANKING COMPANY","LEWISBURG","KY","SM","173979","144929"
"20221231","303","UNITED CUMBERLAND BANK","WHITLEY CITY","KY","NM","375602","327866"
"20221231","304","CLINTON BANK","CLINTON","KY","NM","64359","54121"
"20221231","306","BANK OF ZACHARY","ZACHARY","LA","NM","360790","340628"
"20221231","307","LANDMARK BANK","CLINTON","LA","NM","183373","156542"
"20221231","314","THE MER ROUGE STATE BANK","MER ROUGE","LA","NM","54239","50557"
"20221231","321","HOLMES COUNTY BANK","LEXINGTON","MS","NM","148716","132721"
"20221231","324","CITIZENS BANK","COLUMBIA","MS","NM","449244","401193"
"20221231","327","MERCHANTS AND PLANTERS BANK","RAYMOND","MS","NM","204571","176236"
"20221231","340","THE PEOPLES BANK, BILOXI, MISSISSIPPI","BILOXI","MS","NM","861302","785974"
"20221231","342","FARMERS STATE BANK","VICTOR","MT","SM","652501","604657"
"20221231","352","THE BANK OF BAKER","BAKER","MT","NM","158743","137931"
"20221231","358","STOCKMENS BANK","CASCADE","MT","SM","46141","42077"
"20221231","363","FIRST MONTANA BANK, INC.","MISSOULA","MT","SM","532083","444977"
"20221231","384","THE OHIO VALLEY BANK COMPANY","GALLIPOLIS","OH","SM","1193379","1032783"
"20221231","389","THE PEOPLES BANK","GAMBIER","OH","NM","60928","54772"
"20221231","399","FIRST SUMMIT BANK","RYAN","OK","NM","28429","24523"
"20221231","402","SOONER STATE BANK","TUTTLE","OK","NM","313956","286185"
"20221231","404","THE FARMERS STATE BANK","QUINTON","OK","SM","173255","165023"
"20221231","406","CLEO STATE BANK","CLEO SPRINGS","OK","NM","93526","79039"
"20221231","414","THE STOCK EXCHANGE BANK","WOODWARD","OK","NM","325815","284236"
"20221231","418","HIGH PLAINS BANK","OKEENE","OK","NM","181855","159936"
"20221231","420","BANK OF VICI","VICI","OK","NM","36197","33141"
"20221231","421","SECURITY STATE BANK","CHEYENNE","OK","NM","242225","219158"
"20221231","428","AMERICAN EXCHANGE BANK","HENRYETTA","OK","NM","80649","71338"
"20221231","432","SECURITY FIRST NATIONAL BANK OF HUGO","HUGO","OK","N","135498","123337"
"20221231","444","PS BANK","WYALUSING","PA","NM","546074","494955"
"20221231","445","MERCER COUNTY STATE BANK","SANDY LAKE","PA","NM","551097","473757"
"20221231","485","SECURITY BANK MIDWEST","TYNDALL","SD","NM","298584","240524"
"20221231","492","WESTERN DAKOTA BANK","TIMBER LAKE","SD","NM","69720","64407"
"20221231","496","BANKSTAR FINANCIAL","ELKTON","SD","NM","257010","219633"
"20221231","501","FARMERS AND MERCHANTS STATE BANK","PLANKINTON","SD","NM","135991","120032"
"20221231","504","DAKOTA PRAIRIE BANK","FORT PIERRE","SD","NM","131187","118717"
"20221231","505","GREAT PLAINS BANK","EUREKA","SD","NM","150826","125413"
"20221231","526","FARMERS STATE BANK","PINE BLUFFS","WY","SM","32298","29633"
"20221231","529","CENTRAL BANK AND TRUST","LANDER","WY","NM","227916","213328"
"20221231","588","MANUFACTURERS AND TRADERS TRUST COMPANY","BUFFALO","NY","SM","200262969","165947339"
"20221231","597","CHEMUNG CANAL TRUST COMPANY","ELMIRA","NY","SM","2641568","2331478"
"20221231","609","TOMPKINS COMMUNITY BANK","ITHACA","NY","NM","7630619","6644383"
"20221231","618","BANK OF MILLBROOK","MILLBROOK","NY","SM","309857","286377"
"20221231","622","AMALGAMATED BANK","NEW YORK","NY","NM","7856868","6609480"
"20221231","623","DEUTSCHE BANK TRUST COMPANY AMERICAS","NEW YORK","NY","SM","39192000","26830000"
"20221231","628","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","COLUMBUS","OH","N","3201942000","2014513000"
"20221231","639","THE BANK OF NEW YORK MELLON","NEW YORK","NY","SM","324646000","181486000"
"20221231","659","FIVE STAR BANK","WARSAW","NY","SM","5756441","4956827"
"20221231","660","THE ADIRONDACK TRUST COMPANY","SARATOGA SPRINGS","NY","SM","1640057","1484704"
"20221231","686","FIRST COLUMBIA BANK & TRUST CO.","BLOOMSBURG","PA","NM","940278","683286"
"20221231","698","WAYNE BANK","HONESDALE","PA","NM","2048365","1731665"
"20221231","713","ORRSTOWN BANK","SHIPPENSBURG","PA","SM","2918941","2495195"
"20221231","737","THE APPLE CREEK BANKING COMPANY","APPLE CREEK","OH","SM","217639","201577"
"20221231","763","MINSTER BANK","MINSTER","OH","SM","706883","640356"
"20221231","769","THE FARMERS BANK AND SAVINGS COMPANY","POMEROY","OH","NM","393696","347808"
"20221231","803","WESBANCO BANK, INC.","WHEELING","WV","NM","16894686","13404279"
"20221231","823","CITIZENS BANK AND TRUST COMPANY","BLACKSTONE","VA","SM","573794","513159"
"20221231","845","THE BANK OF ROMNEY","ROMNEY","WV","SM","361769","266771"
